iter	RMSE
0	536816.9621
1	522287.6081
2	507864.1268
3	493053.8062
4	480401.9196
5	467392.6855
6	455716.3008
7	443627.5772
8	431940.8502
9	421921.2204
10	411551.5674
11	401403.4408
12	392269.3812
13	383983.1799
14	375688.196
15	366344.5434
16	358127.671
17	350854.4021
18	344433.2288
19	338038.9463
20	331407.6841
21	325822.1463
22	320173.4148
23	314949.4604
24	308865.9233
25	303405.3915
26	298582.494
27	293369.911
28	288877.6543
29	284171.0739
30	279718.7617
31	274824.2598
32	271121.3418
33	266865.3995
34	262947.4861
35	259783.8182
36	256599.933
37	252627.4234
38	249527.9384
39	246774.9585
40	244309.9323
41	241789.3194
42	238517.9463
43	235558.3288
44	233293.9407
45	230642.5754
46	228357.0177
47	226678.0192
48	225000.9316
49	223066.2045
50	221281.2662
51	219520.1505
52	217218.9569
53	215508.9204
54	214015.9751
55	212673.1766
56	210800.2868
57	209245.845
58	207802.5594
59	206871.674
60	205567.7444
61	204019.4883
62	202629.3998
63	201645.5161
64	200133.4589
65	198932.2021
66	197464.043
67	196231.4414
68	194903.9664
69	194004.5879
70	193103.774
71	191823.9601
72	190777.7936
73	189687.7876
74	188680.2166
75	187676.3636
76	186422.6954
77	184938.0953
78	183957.8671
79	183254.6153
80	182534.7429
81	181652.3263
82	180788.4551
83	179547.4561
84	178715.4241
85	177640.6389
86	177082.6683
87	175946.0281
88	174956.3465
89	174461.6351
90	173783.6881
91	172664.9369
92	171857.2384
93	171260.8197
94	170285.513
95	169468.7041
96	169316.0603
97	168967.174
98	168687.0302
99	168537.3512
100	167697.1943
101	167060.0344
102	166584.3432
103	165878.9233
104	165141.906
105	164968.2696
106	164429.7123
107	163486.3798
108	162496.2452
109	161916.7182
110	161248.554
111	160347.7293
112	159653.2806
113	159106.1741
114	158573.2831
115	158031.9293
116	157257.0244
117	156930.3573
118	156343.3073
119	156207.6037
120	155521.188
121	154905.8726
122	154474.5199
123	154028.0383
124	153367.7079
125	152379.9584
126	151395.0997
127	151108.3222
128	150493.3338
129	149649.4169
130	148839.5151
131	148302.712
132	147980.3518
133	147360.4158
134	146937.2741
135	146530.8427
136	146136.8416
137	145582.902
138	145040.7846
139	144299.0003
140	143911.6325
141	143712.369
142	143164.322
143	142785.1274
144	142060.7034
145	141654.661
146	141212.3813
147	140633.8395
148	140140.2475
149	139507.3697
150	139139.6766
151	138760.1135
152	138430.0774
153	138198.1459
154	137570.8353
155	137006.8881
156	136907.8999
157	136514.014
158	136073.819
159	135672.5173
160	135610.4602
161	135229.4173
162	135038.7299
163	134841.2258
164	134785.1961
165	134327.4499
166	134088.964
167	133716.3589
168	133637.9117
169	133495.2119
170	133177.3033
171	132860.1089
172	132477.6345
173	132124.4623
174	131753.5451
175	131638.6572
176	131293.9816
177	130836.7084
178	130440.6935
179	130047.1012
180	129632.5605
181	129293.9117
182	129129.3818
183	128829.2897
184	128359.3665
185	128038.6267
186	127806.0937
187	127550.8267
188	126997.581
189	126623.1108
190	126198.1498
191	125921.4753
192	125821.0166
193	125665.3537
194	125453.1837
195	125077.5012
196	124723.518
197	124388.2614
198	124073.0569
199	123890.7004
200	123535.7306
201	123090.0732
202	122957.9738
203	122476.3349
204	122301.6645
205	122146.6102
206	121795.8498
207	121592.5308
208	121380.9289
209	121031.7098
210	120674.5452
211	120457.6536
212	120266.6083
213	119922.3678
214	119404.4007
215	119148.9604
216	118871.7618
217	118649.1862
218	118397.6757
219	118039.9832
220	117535.0654
221	117402.3147
222	117279.4116
223	117023.2385
224	116862.5707
225	116644.1915
226	116394.1442
227	115955.8096
228	115581.9532
229	115118.403
230	114798.8453
231	114680.1385
232	114565.3963
233	114452.7696
234	114106.0971
235	113999.0471
236	113722.8197
237	113622.339
238	113333.3616
239	113149.9497
240	112833.1436
241	112737.7069
242	112529.3592
243	112299.1538
244	111908.0757
245	111677.7907
246	111460.2277
247	111256.5264
248	110890.137
249	110624.9357
250	110314.1628
251	110089.3513
252	109715.028
253	109507.2176
254	109396.2536
255	109091.4505
256	108995.7523
257	108673.1571
258	108377.173
259	108233.2342
260	107953.8094
261	107745.4285
262	107510.1557
263	107235.777
264	107094.5428
265	106891.5153
266	106764.6935
267	106666.2367
268	106457.6759
269	106212.5839
270	105913.8224
271	105786.7204
272	105588.8243
273	105470.2473
274	105249.9823
275	104916.2045
276	104748.7834
277	104550.4371
278	104271.9399
279	104131.7709
280	103988.9985
281	103763.9943
282	103570.5309
283	103366.9389
284	103294.818
285	103014.5906
286	102772.7538
287	102509.1822
288	102335.5989
289	102163.93
290	102043.4523
291	101782.4483
292	101608.5957
293	101458.7032
294	101236.4632
295	101067.6176
296	100905.1671
297	100839.3716
298	100632.4805
299	100493.4067
300	100249.9944
301	100090.3799
302	99836.85854
303	99791.9041
304	99570.0478
305	99378.31567
306	99179.60975
307	99049.86742
308	98819.31502
309	98710.4598
310	98542.51091
311	98402.46692
312	98254.89089
313	98063.45865
314	97844.35286
315	97542.63252
316	97488.92039
317	97344.82935
318	97158.40572
319	97111.10479
320	97051.01932
321	96952.07834
322	96843.08691
323	96584.19065
324	96481.28926
325	96280.6436
326	96067.70068
327	95866.048
328	95770.54289
329	95637.89757
330	95417.58891
331	95267.98227
332	94992.00468
333	94836.09429
334	94697.31923
335	94634.99646
336	94493.52339
337	94367.16438
338	94238.41391
339	93951.14581
340	93808.34225
341	93676.47882
342	93479.68767
343	93449.21979
344	93323.8476
345	93131.75685
346	92967.0592
347	92802.28466
348	92779.24563
349	92751.68742
350	92595.72337
351	92490.66521
352	92312.239
353	92101.097
354	91924.97983
355	91850.94558
356	91691.09788
357	91514.56191
358	91404.08206
359	91240.19085
360	91146.22986
361	91043.89422
362	90905.3129
363	90784.88576
364	90672.13605
365	90489.82736
366	90330.7932
367	90163.68182
368	90004.8087
369	89834.90689
370	89751.34923
371	89641.80965
372	89554.72617
373	89407.85672
374	89212.8588
375	89135.19332
376	88977.08273
377	88894.38803
378	88708.84485
379	88595.41242
380	88488.06925
381	88433.803
382	88341.06507
383	88256.07758
384	88210.53114
385	88077.43079
386	87994.56614
387	87846.63217
388	87766.67789
389	87711.02617
390	87538.34874
391	87485.13182
392	87388.77526
393	87246.3413
394	87077.34412
395	86973.57529
396	86845.77141
397	86666.76344
398	86619.15443
399	86494.94725
400	86443.80721
401	86352.4633
402	86263.51349
403	86139.22929
404	86038.32126
405	85865.006
406	85729.42002
407	85654.01059
408	85600.36172
409	85499.74936
410	85389.40706
411	85322.74471
412	85194.5566
413	85127.29322
414	84979.36028
415	84915.68766
416	84852.77357
417	84724.0695
418	84575.8969
419	84460.91008
420	84344.14516
421	84247.76109
422	84149.429
423	84062.99704
424	83963.24665
425	83910.31645
426	83852.2222
427	83785.1067
428	83713.62357
429	83640.326
430	83499.03261
431	83444.82573
432	83350.64705
433	83264.96388
434	83134.6874
435	83000.56256
436	82939.60724
437	82886.67456
438	82837.22112
439	82767.14593
440	82638.59936
441	82556.41047
442	82433.53573
443	82368.58425
444	82317.73557
445	82259.34276
446	82193.22216
447	82135.00036
448	81995.23002
449	81900.7593
450	81793.08044
451	81717.60622
452	81626.67107
453	81526.04045
454	81422.10804
455	81382.35585
456	81334.73756
457	81218.14072
458	81099.38085
459	80999.36542
460	80935.1033
461	80801.48981
462	80680.71315
463	80639.22456
464	80546.44344
465	80432.76946
466	80345.6723
