iter	Passed	Remaining
0	64	64299
1	66	32996
2	67	22441
3	68	17156
4	70	13946
5	71	11825
6	72	10299
7	73	9153
8	75	8285
9	76	7536
10	77	6927
11	78	6427
12	78	5991
13	79	5620
14	80	5309
15	81	5041
16	82	4795
17	83	4569
18	84	4362
19	85	4179
20	86	4012
21	86	3860
22	87	3721
23	88	3597
24	89	3479
25	90	3372
26	90	3275
27	91	3181
28	92	3095
29	93	3015
30	94	2941
31	94	2871
32	95	2801
33	96	2738
34	97	2677
35	97	2618
36	98	2562
37	99	2511
38	99	2461
39	100	2414
40	101	2369
41	102	2327
42	102	2286
43	103	2247
44	104	2209
45	104	2173
46	105	2144
47	106	2116
48	107	2088
49	108	2058
50	109	2028
51	109	2002
52	110	1975
53	111	1947
54	111	1921
55	112	1896
56	113	1872
57	113	1850
58	114	1827
59	114	1799
60	115	1779
61	116	1758
62	116	1737
63	117	1718
64	118	1702
65	119	1684
66	119	1667
67	120	1650
68	121	1633
69	121	1616
70	122	1600
71	122	1585
72	123	1569
73	124	1555
74	124	1541
75	125	1528
76	126	1514
77	127	1503
78	127	1489
79	128	1476
80	129	1465
81	129	1453
82	130	1441
83	131	1430
84	131	1418
85	132	1406
86	132	1395
87	133	1385
88	134	1375
89	135	1365
90	135	1355
91	136	1345
92	136	1335
93	137	1326
94	138	1317
95	139	1308
96	139	1300
97	140	1292
98	141	1283
99	141	1274
100	142	1266
101	143	1259
102	143	1251
103	144	1243
104	145	1236
105	145	1228
106	146	1221
107	146	1213
108	147	1206
109	148	1199
110	149	1193
111	149	1186
112	150	1179
113	150	1172
114	151	1166
115	152	1160
116	152	1153
117	153	1146
118	154	1141
119	154	1134
120	155	1129
121	156	1123
122	156	1118
123	157	1112
124	158	1107
125	158	1102
126	159	1096
127	160	1091
128	161	1087
129	161	1083
130	162	1078
131	163	1073
132	163	1067
133	164	1063
134	165	1058
135	165	1053
136	166	1048
137	167	1043
138	167	1038
139	168	1034
140	169	1030
141	169	1026
142	170	1021
143	171	1017
144	171	1013
145	172	1009
146	173	1005
147	173	1001
148	174	997
149	175	993
150	175	989
151	176	985
152	177	981
153	177	977
154	178	973
155	179	969
156	179	965
157	180	961
158	181	958
159	181	954
160	182	950
161	182	946
162	183	942
163	184	939
164	185	936
165	185	933
166	186	929
167	186	926
168	187	922
169	188	919
170	189	916
171	189	912
172	190	909
173	191	906
174	191	903
175	192	900
176	192	897
177	193	893
178	194	890
179	194	887
180	195	884
181	196	881
182	196	878
183	197	875
184	198	873
185	198	870
186	199	867
187	200	864
188	201	862
189	201	859
190	202	856
191	203	854
192	203	851
193	204	848
194	204	846
195	205	843
196	206	840
197	206	837
198	207	835
199	208	832
200	208	829
201	209	827
202	210	825
203	210	822
204	211	820
205	212	817
206	212	814
207	213	813
208	214	811
209	215	809
210	216	808
211	216	805
212	217	803
213	218	801
214	219	799
215	219	798
216	220	796
217	221	794
218	222	793
219	223	791
220	223	789
221	224	787
222	225	785
223	226	784
224	227	783
225	228	781
226	228	779
227	229	777
228	230	776
229	231	775
230	232	773
231	233	771
232	233	770
233	234	768
234	235	766
235	236	765
236	237	763
237	237	761
238	238	759
239	239	757
240	240	756
241	240	754
242	241	753
243	242	751
244	243	749
245	244	748
246	244	746
247	245	744
248	246	742
249	247	741
250	247	739
251	248	738
252	249	736
253	250	735
254	251	734
255	252	732
256	252	731
257	253	729
258	254	728
259	255	726
260	256	725
261	256	723
262	257	722
263	258	720
264	259	719
265	260	717
266	260	715
267	261	713
268	262	712
269	263	711
270	263	709
271	264	708
272	265	706
273	266	705
274	267	703
275	267	702
276	268	701
277	269	699
278	270	698
279	270	696
280	271	695
281	272	693
282	273	692
283	274	690
284	274	689
285	275	688
286	276	686
287	277	685
288	278	684
289	279	683
290	279	681
291	280	680
292	281	679
293	282	678
294	283	676
295	284	675
296	284	673
297	285	672
298	286	671
299	287	669
300	287	668
301	288	667
302	289	665
303	290	664
304	290	662
305	291	661
306	292	660
307	293	659
308	294	657
309	294	656
310	295	655
311	296	654
312	297	653
313	298	651
314	299	650
315	299	648
316	300	647
317	301	646
318	301	644
319	302	643
320	303	642
321	304	640
322	305	639
323	305	638
324	306	636
325	307	635
326	308	634
327	308	632
328	309	631
329	310	630
330	311	629
331	311	627
332	312	626
333	313	624
334	313	623
335	314	621
336	315	620
337	315	618
338	316	617
339	317	615
340	318	614
341	318	613
342	319	611
343	319	610
344	320	608
345	321	607
346	321	605
347	322	604
348	323	602
349	323	601
350	324	599
351	325	598
352	326	597
353	326	596
354	327	594
355	327	593
356	328	591
357	329	590
358	330	589
359	330	588
360	331	586
361	332	585
362	332	583
363	333	582
364	333	581
365	334	579
366	335	578
367	336	577
368	336	575
369	337	574
370	337	572
371	338	571
372	339	570
373	339	569
374	340	567
375	341	566
376	342	565
377	342	564
378	343	562
379	344	561
380	344	560
381	345	558
382	346	557
383	347	556
384	347	555
385	348	554
386	349	552
387	349	551
388	350	550
389	351	549
390	351	548
391	352	546
392	353	545
393	353	544
394	354	543
395	355	541
396	355	540
397	356	539
398	357	538
399	358	537
400	358	536
401	359	534
402	360	533
403	360	532
404	361	531
405	362	529
406	362	528
407	363	527
408	364	526
409	364	524
410	365	523
411	366	522
412	366	521
413	367	520
414	368	519
415	369	518
416	369	516
417	370	515
418	370	514
419	371	513
420	372	511
421	373	511
422	373	509
423	374	508
424	375	507
425	376	506
426	376	505
427	377	504
428	378	503
